Volume;Issue;Month;Year;number by year;number total published (number ID);Title;Location;Latitude;Latdd;Latmm;Latddm;Latss;Hemisf;longitude;Longdd;Longmm;Longddm;Longss;Hemisf;proxies;time period;;;
;;;;14;1304;Freeze coring soft sediments in tropical lakes;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;15;1305;Geochemistry of the Earth's Surface;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;2;August;2000;16;1306;Diatom transfer-functions for quantifying past air temperature, pH and total organic carbon concentration from lakes in northern Sweden;Sweden;66 49 N;66;49;66 49;;N;20 23 E;20;23;20 23;;E;Diatoms;modern;;;
;;;;17;1307;A paleoclimate record for the past 250,000 years from Summer Lake, Oregon, USA. 1. chronology and magnetic proxies for lake level;United States;43 00 N;43;0;43 0;;N;120 45 W;120;45;120 45;;W;environmental magnetism;pleistocene;;;
;;;;18;1308;A paleoclimate record for the past 250,000 years from Summer Lake, Oregon, USA: II. Sedimentology, paleontology and geochemistry;United States;43 00 N;43;0;43 0;;N;120 45 W;120;45;120 45;;W;environmental magnetism;pleistocene;;;
;;;;19;1309;History of a presently slightly acidic lake in northeastern Alberta,Canada as determined through analysis of the diatom record;Canada;57 42 N;57;42;57 42;;N;112 23W;112;23;112 23;;W;diatoms;Holocene;;;
;;;;20;1310;Relationship of Mn-carbonates in varved lake-sediments to catchment vegetation in Big Watab Lake, MN, USA;United States;45 33 N;45;33;45 33;;N;94 27 W;94;27;94 27;;W;pollen, geochemistry;Holocene;;;
;;;;21;1311;The relationship of modern plant remains to water depth in alkaline lakes in New England, USAe;United States;46.52 N;46;30;46 30;;N;67.94 W;67;58;67 58;;W;plant macrofossils;modern;;;
;;;;22;1312;The International Decade of East African Lakes (IDEAL) drilling initiative for the african great lakes;Tanzania;06 15 S;6;15;6 15;;S;29 30 E;29;30;29 30;;E;summary;Late Pleistocene, Holocene;No local affiliations;Africa;
;;;;23;1313;Lake Gościąż, central Poland. M. Ralska-Jaseiwiczowa, T. Goslar, T. Medeyska, L. Starkel;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;24;1314;The Diatoms: Applications for the Environmental and Earth Sciences;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;1;June;2000;25;1315;Holocene lake sediment records of Arctic hydrology;Artic;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;26;1316;GCM-simulated hydrology in the Arctic duringn the past 21,000 years;Artic;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;27;1317;Late quaternary paleoclimatic reconstructions for interior Alaska based on paleolake-level data and hydrologic models;United States;64 18 N;64;18;64 18;;N;146 40 W;146;40;146 40;;W;hidrology;Late Holocene;;;
;;;;28;1318;Cladoceran and chironomid assemblages as qualitative indicators of water depth in subarctic Fennoscandian lakes;Finland;61 55 N;61;55;61 55;;N;25 44 E;25;44;25 44;;E;cladocera, chironomid;modern;;;
;;;;29;1319;Records of aquatic pollen and sediment properties as indicators of late-Quaternary Alaskan lake levels;United States;67 59 N;67;59;67 59;;N;149 44 W;149;44;149 44;;W;pollen;Late Holocene;;;
;;;;30;1320;Pollen-stratigraphical evidence of Holocene hydrological change in northern Fennoscandia supported by independent isotopic data;Finland;69 34 N;69;34;69 34;;N;28 32 E;28;32;28 32;;E;pollen, stable isotopes;Holoene;;;
;;;;31;1321;Quantitative Holocene climatic reconstruction from Arctic Russia;Russia;68 51 N;68;51;68 51;;N;66 54 E;66;54;66 54;;E;pollen;Holocene;;;
;;;;32;1322;Paleohydrology inferred from diatoms in northern latitude regions;Canada;59 00 N;59;0;59 0;;N;113 00 W;113;0;113 0;;W;diatoms;modern;;;
23;4;April;2000;33;1323;Recent changes in diatom-inferred pH, heavy metals, and spheroidal carbonaceous particles in lake sediments near an oil refinery at Mongstad, Western Norway;Norway;60 53 N;60;53;60 53;;N;05 10 E;5;10;5 10;;E;diatoms, heavy metals;Late Holocene;;;
;;;;34;1324;Evidence for mid-Eemian cooling in continental climatic record from Lake Baikal;Russia;53 26 N;53;26;53 26;;N;107 44 E;107;44;107 44;;E;diatoms;Eemian;;;
;;;;35;1325;A 12,400 14c yr Offshore Diatom Record From East Central Lake Victoria, East Africa;Uganda;00 58 S;0;58;0 58;;S;33 27 E;33;27;33 27;;E;diatoms, phytoliths ;Late Pleistocene, Holocene;no local affiliations;Africa;
;;;;36;1326;Mid-Holocene hemlock decline and diatom communities in van Nostrand Lake, Ontario, Canada;Canada;43 59 N;43;59;43 59;;N;79 23 W;79;23;79 23;;W;diatoms;middle Holocene;;;
;;;;37;1327;Holocene regional and local vegetation history and lake-level changes in the Torneträsk area, northern Sweden;Sweden;68 20 N;68;20;68 20;;N;18 45 E;18;45;18 45;;E;pollen, macrofossils;Holocene;;;
;;;;38;1328;Lacustrine sedimentary record of human-induced gully erosion and land-use change at Providence Canyon, southwest Georgia, USA;United States;32 04 N;32;4;32 4;;N;84 54 W;84;54;84 54;;W;geochronology;Late Holocene;;;
;;;;39;1329;The Hanaupah-Fan shoreline deposit at Tule Spring, a gravelly shoreline deposit of Pleisticene Lake Manly, Death Valley, California, USA;United States;36 13 N;36;13;36 13;;N;116 49 W;116;49;116 49;;W;sedimentology;Pleistocene;;;
;;;;40;1330;Nutrients as a link between ionic concentration/composition and diatom distributions in saline lakes;N/A;N/A;;; ;;;N/A;;; ;;;diatoms, nutrients ;N/A;;;
;;;;41;1331;Paleoclimatology - Reconstructing Cimates of the Quaternary. R.S. Bradley;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;3;March;2000;42;1332;A rock magnetic record from Lama Lake, Taymyr Peninsula, northern Central Siberia;Russia;69 32 N;69;32;69 32;;N;89 56 E;89;56;89 56;;E;rock magnetism;Late Pleistocene, Holocene;;;
;;;;43;1333;Geochemical effects of rapid sedimentation in aquatic systems: minimal diagenesis and the preservation of historical metal signatures;United States;38 15 N;38;15;38 15;;N;77 00 W;77;0;77 0;;W;geochemistry;Holocene;;;
;;;;44;1334;Holocene environmental history of thermokarst lakes on Richards Island, Northwest Territories, Canada: Theocamoebians as paleolimnological indicators;Canada;69 15 N;69;15;69 15;;N;135 00 W;135;0;135 0;;W;testate rhizopods;Holocene;;;
;;;;45;1335;Paleolimnological investigation of recent acidity changes in Sawanoike Pond, Kyoto, Japan;Japan;35 00 N;35;0;35 0;;N;135 46 E;135;46;135 46;;E;diatoms, metals;Late Holocene;;;
;;;;46;1336;A variable lacustrine environment in Lake Winnipeg, Manitoba: Evidence from modern thecamoebian distribution;Canada;53 00 N;53;0;53 0;;N;99 30 W;99;30;99 30;;W;testate rhizopods;Late Holocene;;;
;;;;47;1337;Quantitative inferences of past hypolimnetic anoxia and nutrient levels from a Canadan Precambrian Shield lake;Canada;45 20 N;45;20;45 20;;N;79 06 W;79;6;79 6;;W;diatoms, nutrients ;Late Holocene;;;
;;;;48;1338;Successes, Limitations and Frontiers in Ecosystem Science;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;49;1339;The Holocene - An Environmental Review;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;2;February;2000;50;1340;Evidence for short-lived oscillations in the biological records from the sediments of Lago Albano (Central Italy) spanning the period ca. 28 to 17 k yr BP;Italy;41 44 N;41;44;41 44;;N;12 40 E;12;40;12 40;;E;pigments, diatoms, ostracods, cladocera, chironomid;Late Pleitocene;;;
;;;;51;1341;Processes that can disturb the chronostratigraphy of laminated sediments and pollen deposition;Poland;52 30 N;52;30;52 30;;N;19 20 E;19;20;19 20;;E;pollen, chronoestratigraphy;Late Holocene;;;
;;;;52;1342;The Late Pleistocene - Holocene palaeolimnology of Lake Victoria, East Africa, based upon elemental and isotopic analyses of sedimentary organic matter;Uganda;01 00 S;1;0;1 0;;S;33 00 E;33;0;33 0;;E;stable isotopes;Late Pleistocene, Holocene;no local affiliations;Africa;
;;;;53;1343;The magnetic properties of the recent sediments of Brothers Water, N W England;England;54 30 N;54;30;54 30;;N;02 55 W;2;55;2 55;;W;magnetotactic bacteria;Late Holocene;;;
;;;;54;1344;A 6000 year water level history of Europe Lake, Wisconsin, USA;united States;45 16 N;45;16;45 16;;N;86 59 W;86;59;86 59;;W;stable isotopes, ostracods;middle Holocene;;;
;;;;55;1345;Stratigraphy of multiple piston-core sediments for the last 30,000 years from Lake Biwa, Japan;Japan;35 15 N;35;15;35 15;;N;136 07 E;136;7;136 7;;E;magnetic susceptibility;Late Pleistocene, Holocene;;;
;;;;56;1346;An inexpensive, optical (infrared) detector to locate the sediment/water interface in lakes with unconsolidated sediments;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;57;1347;Changes in fossil midge (Chironomidae) assemblages in response to cultural activities in a shallow, polymictic lake;United States;44 34 N;44;34;44 34;;N;76 19 W;76;19;76 19;;W;chironomid, macrophytes;Late Holocene;;;
;;;;58;1348;Rapid elemental analysis of sediment samples by isotope source XRF;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;59;1349;Backscattered Scanning Electron Microscopy and Image Analysis of Sediments and Sedimentary Rocks: D.H. Krinsley, K. Pye, S. Boggs, Jr., N.K. Tovey;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;60;1350;Management of Lakes and Reservoirs during Global Climate Change.;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;1;January;2000;61;1351;Introduction to the reconstruction of the late-glacial and early-Holocene aquatic ecosystems at Kråkenes Lake, Norway;Norway;62 01 N;62;1;62 1;;N;05 00 E;5;0;5 0;;E;various;Late Pleistocene, Holocene;;;
;;;;62;1352;Aquatic macrophyte vegetation development in Kråkenes Lake, western Norway, during the late-glacial and early-Holocene;Norway;62 01 N;62;1;62 1;;N;05 00 E;5;0;5 0;;E;macrofossils, macrophytes;Late Pleistocene, Holocene;;;
;;;;63;1353;Diatom responses to late-glacial and early-Holocene environmental changes at Kråkenes, western Norway;Norway;62 01 N;62;1;62 1;;N;05 00 E;5;0;5 0;;E;diatoms;Late Pleistocene, Holocene;;;
;;;;64;1354;The fossil oribatid mite fauna (Acari: Oribatida) in late-glacial and early-Holocene sediments in Kråkenes Lake, western Norway;Norway;62 01 N;62;1;62 1;;N;05 00 E;5;0;5 0;;E;mites;Late Pleistocene, Holocene;;;
;;;;65;1355;Late-glacial and early-Holocene Trichoptera (Insecta) from Kråkenes Lake, western Norway;Norway;62 01 N;62;1;62 1;;N;05 00 E;5;0;5 0;;E;trichoptera;Late Pleistocene, Holocene;;;
;;;;66;1356;Late-glacial and early-Holocene Coleoptera assemblages as indicators of local environment and climate at Kråkenes Lake, western Norway;Norway;62 01 N;62;1;62 1;;N;05 00 E;5;0;5 0;;E;coleoptera;Late Pleistocene, Holocene;;;
;;;;67;1357;The late-glacial and early-Holocene palaeoecology of cladoceran microfossil assemblages at Kråkenes, western Norway, with a quantitative reconstruction of temperature changes;Norway;62 01 N;62;1;62 1;;N;05 00 E;5;0;5 0;;E;Cladocera;Late Pleistocene, Holocene;;;
;;;;68;1358;Chironomid-inferred late-glacial and early-Holocene mean July air temperatures for Kråkenes Lake, western Norway;Norway;62 01 N;62;1;62 1;;N;05 00 E;5;0;5 0;;E;chironomid;Late Pleistocene, Holocene;;;
;;;;69;1359;The development of the aquatic ecosystem at Kråkenes Lake, western Norway, during the late glacial and early Holocene - a synthesis;Norway;62 01 N;62;1;62 1;;N;05 00 E;5;0;5 0;;E;various;Late Pleistocene, Holocene;;;
22;4;December;1999;1;1360;Comparative varve counting and magnetic properties of the 8400-yr sequence of an annually laminated sediment in Lake Valkiajärvi, Central Finland;Finland;61 54 N;61;54;61 54;;N;23 53 E;23;53;23 53;;E;;;;;
;;;;2;1361;Organic geochemical evidence for environmental changes since 34,000 yrs BP from Lago di Mezzano, central Italy;Italy;42 37 N;42;37;42 37;;N;11 56 E;11;56;11 56;;E;;;;;
;;;;3;1362;Development of a diatom-based specific conductivity model for the glacio-isostatic lakes of Truelove Lowland: implications for paleoconductivity and paleoenvironmental reconstructions in Devon Island lakes, N.W.T., Canada;Canada;75 40 N;75;40;75 40;;N;84 35 W;84;35;84 35;;W;;;;;
;;;;4;1363;A late Holocene palaeolimnological record from central Mexico, based on faunal and stable-isotope analysis of ostracod shells;Mexico;19 35 N;19;35;19 35;;N;101 32 W;101;32;101 32;;W;;;No local affiliations;America;
;;;;5;1364;Environmental Characteristics of Lake Tecocomulco, northern basin of Mexico, for the last 50,000 years;Mexico;19 53 N;19;53;19 53;;N;98 25 W;98;25;98 25;;W;;;All local affiliations;America;
;;;;6;1365;Calibration of diatoms along a nutrient gradient in Florida Everglades Water Conservation Area-2A, USA;United States;25 44 N;25;44;25 44;;N;80 33 W;80;33;80 33;;W;;;;;
;;;;7;1366;Relationship between C:N ratios of lake sediments, organic matter sources, and historical deforestation in Lake Pleasant, Massachusetts, USA;United States;42 33 N;42;33;42 33;;N;72 30 W;72;30;72 30;;W;;;;;
;;;;8;1367;Image analysis as a method to quantify sediment components;Sweden;63 55 N;63;55;63 55;;N;20 01 E;20;1;20 1;;E;;;;;
;;;;9;1368;Recent lake level variations in Lake Haubi, central Tanzania, interpreted from pollen and sediment studies;Tanzania;04 47 S;4;47;4 47;;S;35 57 E;35;57;35 57;;E;;;No local affiliations;Africa;
;;;;10;1369;The history and architecture of lacustrine depositional systems in the northern Lake Michigan basin;United States;43 27 N;43;27;43 27;;N;87 13 W;87;13;87 13;;W;;;;;
;3;October;1999;11;1370;Metals and models: Diagenic modelling in freshwater lacustrine sediments;N/A;N/A;;; ;;;N/A;;; ;;;;;;;
;;;;12;1371;Improved mappint of the Lake Agassiz Herman strandline by integrating geological and soil maps;United States;47 33 N;47;33;47 33;;N;101 00 W;101;0;101 0;;W;;;;;
;;;;13;1372;Ostracode stratigraphy and paleoecology from surficial sediments of Lake Tanganyika, Africa;Tanzania;5 06 S;5;6;5 6;;S;33 04 E;33;4;33 4;;E;;;No local affiliations;Africa;
;;;;14;1373;Cladoceran and diatom evidence of lake-level fluctuations from a Finnish lake and the effect of acquatic-moss layers on microfossil assemblages;Finland;60 21 N;60;21;60 21;;N;24 36 E;24;36;24 36;;E;;;;;
;;;;15;1374;Surface-sediment and epilithic diatom pH calibration sets for remote European mountain lakes (AL:PE Project) and their comparison with the Surface Waters Acidification Programme (SWAP) calibration set;Europe;47 16 N;47;16;47 16;;N;11 24 E;11;24;11 24;;E;;;;;
;;;;16;1375;Preliminary evidence of environmental changes at Lake Bambili (Cameroon, West Africa) since 24,000 BP;Cameroon;5 55 N;5;55;5 55;;N;10 14 E;10;14;10 14;;E;;;No local affiliations;Africa;
;;;;17;1376;Ecology of Shallow Lakes, M. Scheffer;N/A;N/A;;; ;;;N/A;;; ;;;;;;;
;;;;18;1377;Book Received;N/A;N/A;;; ;;;N/A;;; ;;;;;;;
;2;September;1999;19;1378;Taking varves to bits: Scanning electron microscopy in the study of laminated sediments and varves;Ireland;57 19 N;57;19;57 19;;N;4 25 W;4;25;4 25;;W;;;;;
;;;;20;1379;Late Pleistocene and early Holocene ecological response of Lake El Trébol (Patagonia, Argentina) to environmental changes;Argentina;41 04 S;41;4;41 4;;S;71 29 W;71;29;71 29;;W;;;;;
;;;;21;1380;Paleolimnological environment indicated by the diatom and pollen assemblages in an alpine lake in Taiwan;Taiwan;24 35 N;24;35;24 35;;N;121 24 E;121;24;121 24;;E;;;;;
;;;;22;1381;Environmental changes documented by sedimentation of Lake Yiema in arid China since the late Glaciation;China;43 44 N;43;44;43 44;;N;82 46 E;82;46;82 46;;E;;;;;
;;;;23;1382;"Anthropogenic changes in the sediment composition of Lake Gości& aogon;ż (central Poland), during the last 330 yrs*";Poland;52 34 N;52;43;52 43;;N;19 20 E;19;20;19 20;;E;;;;;
;;;;24;1383;Late Quaternary palaeohydrology of the Konya Basin, Turkey, based on isotope studies of modern hydrology and lacustrine carbonates;Turkey;37 38 N;37;38;37 38;;N;33 35 E;33;35;33 35;;E;;;;;
;;;;25;1384;Stable isotope (δ13C and δ15N) signatures of sedimented organic matter as indicators of historic lake trophic state;United States;28 20 N;28;20;28 20;;N;82 15 W;82;15;82 15;;W;;;;;
;;;;26;1385;Lake Baikal: Some topical aspects of current research;Russia;53 33 N;53;33;53 33;;N;108 09 E;108;9;108 9;;E;;;;;
;;;;27;1386;Conference announcement The 8th International Symposium on Paleolimnology will be held at Queen's University, Kingston, Ontario, Canada during the week of August 20, 2000;N/A;N/A;;; ;;;N/A;;; ;;;;;;;
;1;July;1999;28;1387;Temporal and spatial trends of lake acidity in northern Sweden;Sweden;63 37 N;63;37;63 37;;N;19 34 E;19;34;19 34;;E;;;;;
;;;;29;1388;Chrysophyte cysts as paleolimnological indicators of environmental change due to cottage development and acidic deposition in the Muskoka-Haliburton region, Ontario, Canada;Canada;51 15 N;51;15;51 15;;N;85 19 W;85;19;85 19;;W;;;;;
;;;;30;1389;Mass occurance and sporadic distribution of Corynocera ambigua Zetterstedt (Diptera, Chironomidae) in Danish lakes. Neo- and palaeolimnological records;Denmark;55 37 N;55;37;55 37;;N;11 41 E;11;41;11 41;;E;;;;;
;;;;31;1390;Diatom stratigraphy in five offshore sediment cores from the northwestern Baltic proper implying large scale circulation changes during the last 8500 years;Baltic Sea;58 28 N;58;28;58 28;;N;19 51 E;19;51;19 51;;E;;;;;
;;;;32;1391;The volume and paleobathymetry of glacial Lake Agassiz;United States;50 00 N;50;0;50 0;;N;99 00 W;99;0;99 0;;W;;;;;
;;;;33;1392;Diatomaceous sedimentation in the Tertiary Lampang Basin, Northern Thailand;Thailand;18 17 N;18;17;18 17;;N;99 30 E;99;30;99 30;;E;;;One local affiliation. Coauthor;Asia;
;;;;34;1393;Mineral magnetic and geochemical records of late Glacial climatic change from two northwest European carbonate lakes;England;54 30 N;54;30;54 30;;N;02 47 W;2;47;2 47;;W;;;;;
;;;;35;1394;An image database for diatom identification and nomenclature;N/A;N/A;;; ;;;N/A;;; ;;;;;;;
;;;;36;1395;Paleoenvironmental Analysis of Italian Crater Lake and Adriatic Sediments (PALICLAS);N/A;N/A;;; ;;;N/A;;; ;;;;;;;
;;;;37;1396;Advances in Fission-track Geochronology. 11998: P. van den Haute and F. de Corte;N/A;N/A;;; ;;;N/A;;; ;;;;;;;
21;4;May;1999;38;1397;The carbon cycle and biogeochemical dynamics in lake sediments;United States;46 00 N;46;0;46 0;;N;94 00 W;94;0;94 0;;W;;;;;
;;;;39;1398;Differences in the eutrophication dynamics of Ammersee and Starnberger See (Southern Germany), reflected by the diatom succession in varve-dated sediments;Germany;48 00 N;48;0;48 0;;N;11 07 E;11;7;11 7;;E;;;;;
;;;;40;1399;Diatom-derived palaeoconductivity estimates for Lake Awassa, Ethiopia: evidence for pulsed inflows of saline groundwater;Ethiopia;7 04 N;7;4;7 4;;N;38 26 E;38;26;38 26;;E;;;One local affiliation. Coauthor;Africa;
